structure,z,L,energy_Eh
Porphrin_Linker-CN_centered_z38_inc_L140,3.8,14.0,-28.924942615138537
Porphrin_Linker-CN_centered_z38_inc_L150,3.8,15.0,-28.92339678885259
Porphrin_Linker-CN_centered_z38_inc_L160,3.8,16.0,-28.920495339564354
Porphrin_Linker-CN_centered_z38_inc_L170,3.8,17.0,-28.920520166278056
Porphrin_Linker-CN_centered_z38_inc_L180,3.8,18.0,-28.92249934634889
Porphrin_Linker-CN_centered_z38_inc_L187,3.8,18.7,-28.923933925039965
Porphrin_Linker-CN_centered_z39_inc_L000,3.9,0.0,-29.052270186630054
Porphrin_Linker-CN_centered_z39_inc_L010,3.9,1.0,-29.066173616490406
Porphrin_Linker-CN_centered_z39_inc_L020,3.9,2.0,-29.07416755904625
Porphrin_Linker-CN_centered_z39_inc_L030,3.9,3.0,-29.064930421569123
Porphrin_Linker-CN_centered_z39_inc_L040,3.9,4.0,-29.05545820485968
Porphrin_Linker-CN_centered_z39_inc_L050,3.9,5.0,-29.03767130417268
Porphrin_Linker-CN_centered_z39_inc_L060,3.9,6.0,-29.01806323494093
Porphrin_Linker-CN_centered_z39_inc_L070,3.9,7.0,-28.992982969299852
Porphrin_Linker-CN_centered_z39_inc_L080,3.9,8.0,-28.96743037450095
Porphrin_Linker-CN_centered_z39_inc_L090,3.9,9.0,-28.950492902707293
Porphrin_Linker-CN_centered_z39_inc_L100,3.9,10.0,-28.92943359406215
Porphrin_Linker-CN_centered_z39_inc_L110,3.9,11.0,-28.918625895227525
Porphrin_Linker-CN_centered_z39_inc_L120,3.9,12.0,-28.914663910000893
Porphrin_Linker-CN_centered_z39_inc_L130,3.9,13.0,-28.91429615687727
Porphrin_Linker-CN_centered_z39_inc_L140,3.9,14.0,-28.91645781230641
Porphrin_Linker-CN_centered_z39_inc_L150,3.9,15.0,-28.916260620200934
Porphrin_Linker-CN_centered_z39_inc_L160,3.9,16.0,-28.914413525524978
Porphrin_Linker-CN_centered_z39_inc_L170,3.9,17.0,-28.913998842629034
Porphrin_Linker-CN_centered_z39_inc_L180,3.9,18.0,-28.916130378798993
Porphrin_Linker-CN_centered_z39_inc_L187,3.9,18.7,-28.91777110631757
Porphrin_Linker-CN_centered_z40_inc_L000,4.0,0.0,-29.038833536712296
Porphrin_Linker-CN_centered_z40_inc_L010,4.0,1.0,-29.052246032862914
Porphrin_Linker-CN_centered_z40_inc_L020,4.0,2.0,-29.05912513451002
Porphrin_Linker-CN_centered_z40_inc_L030,4.0,3.0,-29.049771065511525
Porphrin_Linker-CN_centered_z40_inc_L040,4.0,4.0,-29.0403623221814
Porphrin_Linker-CN_centered_z40_inc_L050,4.0,5.0,-29.023889535390026
Porphrin_Linker-CN_centered_z40_inc_L060,4.0,6.0,-29.004728705003394
Porphrin_Linker-CN_centered_z40_inc_L070,4.0,7.0,-28.979292654024363
Porphrin_Linker-CN_centered_z40_inc_L080,4.0,8.0,-28.955439790060087
Porphrin_Linker-CN_centered_z40_inc_L090,4.0,9.0,-28.939544945360872
Porphrin_Linker-CN_centered_z40_inc_L100,4.0,10.0,-28.919829921905496
Porphrin_Linker-CN_centered_z40_inc_L110,4.0,11.0,-28.909954545294465
Porphrin_Linker-CN_centered_z40_inc_L120,4.0,12.0,-28.905964429330844
Porphrin_Linker-CN_centered_z40_inc_L130,4.0,13.0,-28.905540787754262
Porphrin_Linker-CN_centered_z40_inc_L140,4.0,14.0,-28.908096109747408
Porphrin_Linker-CN_centered_z40_inc_L150,4.0,15.0,-28.908906365375074
Porphrin_Linker-CN_centered_z40_inc_L160,4.0,16.0,-28.908005067458568
Porphrin_Linker-CN_centered_z40_inc_L170,4.0,17.0,-28.907153274851314
Porphrin_Linker-CN_centered_z40_inc_L180,4.0,18.0,-28.909210459505807
Porphrin_Linker-CN_centered_z40_inc_L187,4.0,18.7,-28.91092866577699
