structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z41_L070_serr,4.1,7.0,-2578.1183028689,0.04926502089983842
cof-1_z41_L080_serr,4.1,8.0,-2578.117024657,0.05054323280000972
cof-1_z41_L087_serr,4.1,8.7,-2578.1174567196,0.05011117020012534
cof-1_z42_L000_serr,4.2,0.0,-2578.1218309827,0.04573690710003575
cof-1_z42_L010_serr,4.2,1.0,-2578.1246207674,0.04294712240016452
cof-1_z42_L020_serr,4.2,2.0,-2578.1276058482,0.039962041600119846
cof-1_z42_L030_serr,4.2,3.0,-2578.1281911035,0.039376786300181266
cof-1_z42_L040_serr,4.2,4.0,-2578.1268144359,0.04075345389992435
cof-1_z42_L050_serr,4.2,5.0,-2578.1227699223,0.044797967500016966
cof-1_z42_L060_serr,4.2,6.0,-2578.1186709219,0.048896967899963784
cof-1_z42_L070_serr,4.2,7.0,-2578.1154682246,0.052099665199875744
cof-1_z42_L080_serr,4.2,8.0,-2578.1142768151,0.05329107470015515
cof-1_z42_L087_serr,4.2,8.7,-2578.1143597094,0.05320818039990627
cof-1_z43_L000_serr,4.3,0.0,-2578.1183344319,0.049233457899845234
cof-1_z43_L010_serr,4.3,1.0,-2578.1207685441,0.04679934570003752
cof-1_z43_L020_serr,4.3,2.0,-2578.1232737685,0.044294121300026745
cof-1_z43_L030_serr,4.3,3.0,-2578.1240489463,0.04351894350020302
cof-1_z43_L040_serr,4.3,4.0,-2578.1226574011,0.04491048870022496
cof-1_z43_L050_serr,4.3,5.0,-2578.1193144494,0.048253440400003456
cof-1_z43_L060_serr,4.3,6.0,-2578.1157596965,0.0518081933000758
cof-1_z43_L070_serr,4.3,7.0,-2578.1128240131,0.05474387669983116
cof-1_z43_L080_serr,4.3,8.0,-2578.1116105693,0.055957320500056085
cof-1_z43_L087_serr,4.3,8.7,-2578.1115888572,0.055979032600134815
cof-1_z44_L000_serr,4.4,0.0,-2578.1152643378,0.05230355200001213
cof-1_z44_L010_serr,4.4,1.0,-2578.1171953086,0.050372581200008426
cof-1_z44_L020_serr,4.4,2.0,-2578.1195397291,0.0480281607001416
cof-1_z44_L030_serr,4.4,3.0,-2578.1203370951,0.0472307947002264
cof-1_z44_L040_serr,4.4,4.0,-2578.1190250422,0.04854284759994698
cof-1_z44_L050_serr,4.4,5.0,-2578.1162636058,0.05130428399979792
cof-1_z44_L060_serr,4.4,6.0,-2578.1129804209,0.05458746890008115
cof-1_z44_L070_serr,4.4,7.0,-2578.1103462763,0.05722161350013266
cof-1_z44_L080_serr,4.4,8.0,-2578.1092837722,0.058284117600123864
cof-1_z44_L087_serr,4.4,8.7,-2578.1091692791,0.05839861069989638
cof-1_z45_L000_serr,4.5,0.0,-2578.1121540489,0.05541384090020074
cof-1_z45_L010_serr,4.5,1.0,-2578.113902404,0.05366548580013841
cof-1_z45_L020_serr,4.5,2.0,-2578.1160608729,0.051507016899904556
cof-1_z45_L030_serr,4.5,3.0,-2578.1169040861,0.05066380369999024
cof-1_z45_L040_serr,4.5,4.0,-2578.1158067253,0.05176116450002155
cof-1_z45_L050_serr,4.5,5.0,-2578.1133497295,0.054218160300024465
cof-1_z45_L060_serr,4.5,6.0,-2578.1104463301,0.05712155970013555
cof-1_z45_L070_serr,4.5,7.0,-2578.1081626589,0.05940523090021088
cof-1_z45_L080_serr,4.5,8.0,-2578.1071446742,0.06042321560016717
cof-1_z45_L087_serr,4.5,8.7,-2578.1068830744,0.0606848154002364
