structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z41_L050_serr,4.1,5.0,-21.99297415193675,0.13463361719096767
cof-1_z41_L060_serr,4.1,6.0,-21.985330779097403,0.14227699003031447
cof-1_z41_L070_serr,4.1,7.0,-21.981146453489643,0.1464613156380743
cof-1_z41_L080_serr,4.1,8.0,-21.97813089752244,0.14947687160527678
cof-1_z41_L087_serr,4.1,8.7,-21.979253813003833,0.14835395612388425
cof-1_z42_L000_serr,4.2,0.0,-22.061116993861216,0.0664907752665016
cof-1_z42_L010_serr,4.2,1.0,-22.052564888525506,0.07504288060221143
cof-1_z42_L020_serr,4.2,2.0,-22.030188619048474,0.09741915007924362
cof-1_z42_L030_serr,4.2,3.0,-22.01167229925841,0.11593546986930647
cof-1_z42_L040_serr,4.2,4.0,-21.994424875262922,0.1331828938647952
cof-1_z42_L050_serr,4.2,5.0,-21.976230255783847,0.15137751334387062
cof-1_z42_L060_serr,4.2,6.0,-21.97050829205736,0.1570994770703571
cof-1_z42_L070_serr,4.2,7.0,-21.966839258382414,0.16076851074530296
cof-1_z42_L080_serr,4.2,8.0,-21.96407650283339,0.1635312662943278
cof-1_z42_L087_serr,4.2,8.7,-21.96455734280138,0.16305042632633615
cof-1_z43_L000_serr,4.3,0.0,-22.04107042445637,0.08653734467134555
cof-1_z43_L010_serr,4.3,1.0,-22.0347670530794,0.09284071604831823
cof-1_z43_L020_serr,4.3,2.0,-22.013281005085062,0.11432676404265507
cof-1_z43_L030_serr,4.3,3.0,-21.992770735910838,0.13483703321687912
cof-1_z43_L040_serr,4.3,4.0,-21.9759482745006,0.15165949462711836
cof-1_z43_L050_serr,4.3,5.0,-21.959679242440096,0.16792852668762137
cof-1_z43_L060_serr,4.3,6.0,-21.95543873501409,0.17216903411362594
cof-1_z43_L070_serr,4.3,7.0,-21.952412442520902,0.17519532660681492
cof-1_z43_L080_serr,4.3,8.0,-21.94988494188467,0.17772282724304844
cof-1_z43_L087_serr,4.3,8.7,-21.949329526669146,0.17827824245857116
cof-1_z44_L000_serr,4.4,0.0,-22.020102588803322,0.10750518032439516
cof-1_z44_L010_serr,4.4,1.0,-22.016129350352937,0.11147841877478015
cof-1_z44_L020_serr,4.4,2.0,-21.995737962647286,0.1318698064804309
cof-1_z44_L030_serr,4.4,3.0,-21.97507633112334,0.1525314380043774
cof-1_z44_L040_serr,4.4,4.0,-21.958344728035005,0.16926304109271229
cof-1_z44_L050_serr,4.4,5.0,-21.94396805243275,0.18363971669496593
cof-1_z44_L060_serr,4.4,6.0,-21.940517500071998,0.18709026905571946
cof-1_z44_L070_serr,4.4,7.0,-21.938183099867246,0.18942466926047175
cof-1_z44_L080_serr,4.4,8.0,-21.935935282231142,0.19167248689657512
cof-1_z44_L087_serr,4.4,8.7,-21.93461373557605,0.1929940335516669
cof-1_z45_L000_serr,4.5,0.0,-21.9993056493571,0.12830211977061623
cof-1_z45_L010_serr,4.5,1.0,-21.996497096689872,0.13111067243784547
cof-1_z45_L020_serr,4.5,2.0,-21.977920713857237,0.14968705527047987
cof-1_z45_L030_serr,4.5,3.0,-21.95878710342846,0.1688206656992577
cof-1_z45_L040_serr,4.5,4.0,-21.941952878731428,0.18565489039628957
cof-1_z45_L050_serr,4.5,5.0,-21.929493055618416,0.19811471350930177
cof-1_z45_L060_serr,4.5,6.0,-21.92615469184639,0.20145307728132877
cof-1_z45_L070_serr,4.5,7.0,-21.924480840001358,0.2031269291263591
cof-1_z45_L080_serr,4.5,8.0,-21.92250007156333,0.20510769756438663
cof-1_z45_L087_serr,4.5,8.7,-21.921254982946913,0.20635278618080477
