structure,z,L,energy_eV,energy_rel_eV
COF-366-Co-CN_z40_L150_incl,4.0,15.0,-74781.63554950882,0.9053068583307322
COF-366-Co-CN_z40_L160_incl,4.0,16.0,-74781.67544119607,0.8654151710798033
COF-366-Co-CN_z40_L170_incl,4.0,17.0,-74781.66824255392,0.872613813233329
COF-366-Co-CN_z41_L000_incl,4.1,0.0,-74782.27037880644,0.27047756071260665
COF-366-Co-CN_z41_L010_incl,4.1,1.0,-74781.33981457877,1.2010417883866467
COF-366-Co-CN_z41_L020_incl,4.1,2.0,-74779.66822089002,2.8726354771351907
COF-366-Co-CN_z41_L030_incl,4.1,3.0,-74778.6834748047,3.857381562454975
COF-366-Co-CN_z41_L040_incl,4.1,4.0,-74779.78824293554,2.7526134316140087
COF-366-Co-CN_z41_L050_incl,4.1,5.0,-74782.01651809491,0.5243382722401293
COF-366-Co-CN_z41_L060_incl,4.1,6.0,-74782.24792704565,0.29292932149837725
COF-366-Co-CN_z41_L070_incl,4.1,7.0,-74781.58521473031,0.955641636843211
COF-366-Co-CN_z41_L080_incl,4.1,8.0,-74780.23793498453,2.302921382623026
COF-366-Co-CN_z41_L090_incl,4.1,9.0,-74779.68451924302,2.8563371241325513
COF-366-Co-CN_z41_L100_incl,4.1,10.0,-74780.89636636735,1.6444899998023175
COF-366-Co-CN_z41_L110_incl,4.1,11.0,-74781.51058949882,1.0302668683289085
COF-366-Co-CN_z41_L120_incl,4.1,12.0,-74781.33903362266,1.2018227444932563
COF-366-Co-CN_z41_L130_incl,4.1,13.0,-74781.3355716834,1.2052846837468678
COF-366-Co-CN_z41_L140_incl,4.1,14.0,-74781.54453487907,0.9963214880845044
COF-366-Co-CN_z41_L150_incl,4.1,15.0,-74781.60223431562,0.9386220515298191
COF-366-Co-CN_z41_L160_incl,4.1,16.0,-74781.64484737525,0.8960089918982703
COF-366-Co-CN_z41_L170_incl,4.1,17.0,-74781.65123388788,0.8896224792697467
COF-366-Co-CN_z42_L000_incl,4.2,0.0,-74782.43673574927,0.10412061787792481
COF-366-Co-CN_z42_L010_incl,4.2,1.0,-74781.74957351295,0.7912828542030184
COF-366-Co-CN_z42_L020_incl,4.2,2.0,-74780.53515916971,2.0056971974408953
COF-366-Co-CN_z42_L030_incl,4.2,3.0,-74779.76697301058,2.7738833565672394
COF-366-Co-CN_z42_L040_incl,4.2,4.0,-74780.51405203811,2.0268043290416244
COF-366-Co-CN_z42_L050_incl,4.2,5.0,-74782.06808904828,0.47276731887541246
COF-366-Co-CN_z42_L060_incl,4.2,6.0,-74782.21043947236,0.33041689479432534
COF-366-Co-CN_z42_L070_incl,4.2,7.0,-74781.69188150876,0.8489748583961045
COF-366-Co-CN_z42_L080_incl,4.2,8.0,-74780.64110302272,1.89975334443443
COF-366-Co-CN_z42_L090_incl,4.2,9.0,-74780.2163329055,2.324523461647914
COF-366-Co-CN_z42_L100_incl,4.2,10.0,-74781.11336701759,1.4274893495603465
COF-366-Co-CN_z42_L110_incl,4.2,11.0,-74781.55230247873,0.9885538884263951
