structure,z,L,energy_Eh
boronate_ester_2-Benzene_z40_inc_L070,4.0,7.0,-11.00497380533864
boronate_ester_2-Benzene_z40_inc_L080,4.0,8.0,-11.004178258570901
boronate_ester_2-Benzene_z40_inc_L087,4.0,8.7,-11.003991398303421
boronate_ester_2-Benzene_z41_inc_L000,4.1,0.0,-11.039220904894542
boronate_ester_2-Benzene_z41_inc_L010,4.1,1.0,-11.035669697262385
boronate_ester_2-Benzene_z41_inc_L020,4.1,2.0,-11.024977551145973
boronate_ester_2-Benzene_z41_inc_L030,4.1,3.0,-11.015186477120576
boronate_ester_2-Benzene_z41_inc_L040,4.1,4.0,-11.00580335489057
boronate_ester_2-Benzene_z41_inc_L050,4.1,5.0,-10.997175535708497
boronate_ester_2-Benzene_z41_inc_L060,4.1,6.0,-10.99649472049301
boronate_ester_2-Benzene_z41_inc_L070,4.1,7.0,-10.997187532868388
boronate_ester_2-Benzene_z41_inc_L080,4.1,8.0,-10.996181705123941
boronate_ester_2-Benzene_z41_inc_L087,4.1,8.7,-10.995773319204172
boronate_ester_2-Benzene_z42_inc_L000,4.2,0.0,-11.030610015957121
boronate_ester_2-Benzene_z42_inc_L010,4.2,1.0,-11.026888392454664
boronate_ester_2-Benzene_z42_inc_L020,4.2,2.0,-11.015898970432298
boronate_ester_2-Benzene_z42_inc_L030,4.2,3.0,-11.00521135971613
boronate_ester_2-Benzene_z42_inc_L040,4.2,4.0,-10.996449440874976
boronate_ester_2-Benzene_z42_inc_L050,4.2,5.0,-10.988808717560902
boronate_ester_2-Benzene_z42_inc_L060,4.2,6.0,-10.98872626710014
boronate_ester_2-Benzene_z42_inc_L070,4.2,7.0,-10.989277995902688
boronate_ester_2-Benzene_z42_inc_L080,4.2,8.0,-10.987999699670345
boronate_ester_2-Benzene_z42_inc_L087,4.2,8.7,-10.987412437318701
boronate_ester_2-Benzene_z43_inc_L000,4.3,0.0,-11.020579214507476
boronate_ester_2-Benzene_z43_inc_L010,4.3,1.0,-11.01760270515939
boronate_ester_2-Benzene_z43_inc_L020,4.3,2.0,-11.006769828020213
boronate_ester_2-Benzene_z43_inc_L030,4.3,3.0,-10.99572298000868
boronate_ester_2-Benzene_z43_inc_L040,4.3,4.0,-10.987470615316028
boronate_ester_2-Benzene_z43_inc_L050,4.3,5.0,-10.980717792315382
boronate_ester_2-Benzene_z43_inc_L060,4.3,6.0,-10.981011410231824
boronate_ester_2-Benzene_z43_inc_L070,4.3,7.0,-10.981353413169554
boronate_ester_2-Benzene_z43_inc_L080,4.3,8.0,-10.979787447055699
boronate_ester_2-Benzene_z43_inc_L087,4.3,8.7,-10.978881102752801
boronate_ester_2-Benzene_z44_inc_L000,4.4,0.0,-11.010094504580803
boronate_ester_2-Benzene_z44_inc_L010,4.4,1.0,-11.008006323024677
boronate_ester_2-Benzene_z44_inc_L020,4.4,2.0,-10.997745606179507
boronate_ester_2-Benzene_z44_inc_L030,4.4,3.0,-10.987039202063942
boronate_ester_2-Benzene_z44_inc_L040,4.4,4.0,-10.979113993304658
boronate_ester_2-Benzene_z44_inc_L050,4.4,5.0,-10.97315734935659
boronate_ester_2-Benzene_z44_inc_L060,4.4,6.0,-10.973487486075177
boronate_ester_2-Benzene_z44_inc_L070,4.4,7.0,-10.973533317350574
boronate_ester_2-Benzene_z44_inc_L080,4.4,8.0,-10.971794805742194
boronate_ester_2-Benzene_z44_inc_L087,4.4,8.7,-10.970705952915361
boronate_ester_2-Benzene_z45_inc_L000,4.5,0.0,-10.999701509208414
boronate_ester_2-Benzene_z45_inc_L010,4.5,1.0,-10.998031977651857
boronate_ester_2-Benzene_z45_inc_L020,4.5,2.0,-10.988949726055981
boronate_ester_2-Benzene_z45_inc_L030,4.5,3.0,-10.97919195947007
boronate_ester_2-Benzene_z45_inc_L040,4.5,4.0,-10.971435801737124
boronate_ester_2-Benzene_z45_inc_L050,4.5,5.0,-10.966204016066941
boronate_ester_2-Benzene_z45_inc_L060,4.5,6.0,-10.966286723442137
boronate_ester_2-Benzene_z45_inc_L070,4.5,7.0,-10.965994528472105
boronate_ester_2-Benzene_z45_inc_L080,4.5,8.0,-10.964197818461459
boronate_ester_2-Benzene_z45_inc_L087,4.5,8.7,-10.963294843763508
