structure,z,L,energy_Eh
boronate_ester_2-Benzene_z44_ser_L087,4.4,8.7,-21.934692267744985
boronate_ester_2-Benzene_z45_ser_L000,4.5,0.0,-21.999403018383607
boronate_ester_2-Benzene_z45_ser_L010,4.5,1.0,-21.99660295749225
boronate_ester_2-Benzene_z45_ser_L020,4.5,2.0,-21.97802845297735
boronate_ester_2-Benzene_z45_ser_L030,4.5,3.0,-21.958893776453078
boronate_ester_2-Benzene_z45_ser_L040,4.5,4.0,-21.94204964159683
boronate_ester_2-Benzene_z45_ser_L050,4.5,5.0,-21.929580897047064
boronate_ester_2-Benzene_z45_ser_L060,4.5,6.0,-21.926224145325815
boronate_ester_2-Benzene_z45_ser_L070,4.5,7.0,-21.924551322428304
boronate_ester_2-Benzene_z45_ser_L080,4.5,8.0,-21.92258300080815
boronate_ester_2-Benzene_z45_ser_L087,4.5,8.7,-21.921341347406475
